emp_no,first_name,last_name,to_date,dept_no,dept_name
10001,Georgi,Facello,9999-01-01,d005,Development
10053,Sanjiv,Zschoche,9999-01-01,d007,Sales
10066,Kwee,Schusler,9999-01-01,d005,Development
10072,Hironoby,Sidou,9999-01-01,d005,Development
10076,Erez,Ritzmann,9999-01-01,d005,Development
10103,Akemi,Birch,9999-01-01,d005,Development
10129,Armond,Peir,9999-01-01,d005,Development
10150,Zhenbing,Perng,9999-01-01,d005,Development
10153,Heekeun,Majewski,9999-01-01,d005,Development
10157,Nigel,Aloisi,9999-01-01,d005,Development
10198,Pranav,Furedi,9999-01-01,d005,Development
10215,Xiaobin,Duclos,9999-01-01,d007,Sales
10258,Basil,Ishibashi,9999-01-01,d005,Development
10283,Kauko,Birjandi,9999-01-01,d005,Development
10355,Satyanarayana,Cochrane,9999-01-01,d007,Sales
10396,Sibyl,Rahier,9999-01-01,d005,Development
10404,Prodip,Rosti,9999-01-01,d005,Development
10426,Arunas,Luce,9999-01-01,d005,Development
10429,Martien,Improta,9999-01-01,d005,Development
10463,Ung,Zaiane,9999-01-01,d007,Sales
10504,Xiong,Varker,9999-01-01,d007,Sales
10628,Krisda,Krogh,9999-01-01,d005,Development
10631,Inderjeet,Chaudhuri,9999-01-01,d005,Development
10642,Hirochika,Narlikar,9999-01-01,d005,Development
10653,Otmar,Feinberg,9999-01-01,d005,Development
10676,Valeri,Danley,9999-01-01,d005,Development
10702,Bader,Szemeredi,9999-01-01,d005,Development
10718,Adib,Rullman,9999-01-01,d005,Development
10726,Zita,Minakawa,9999-01-01,d005,Development
10767,Monique,Doering,9999-01-01,d007,Sales
10791,Tadahiko,Sgarro,9999-01-01,d005,Development
10795,Supot,Naudin,9999-01-01,d007,Sales
10808,Chenxi,Leijenhorst,9999-01-01,d005,Development
10844,Dipayan,Koprowski,9999-01-01,d005,Development
10878,Lakshmi,Deville,9999-01-01,d007,Sales
10879,Muzhong,Chleq,9999-01-01,d005,Development
10909,Georgi,Atchley,9999-01-01,d005,Development
10924,Hironoby,Atchley,9999-01-01,d007,Sales
10943,Berna,Skafidas,9999-01-01,d005,Development
10965,Eckart,Braunschweig,9999-01-01,d007,Sales
10969,Premal,Noriega,9999-01-01,d005,Development
10974,Muneo,Papsdorf,9999-01-01,d005,Development
10986,Masako,Schiper,9999-01-01,d005,Development
10988,Chinya,Deyuan,9999-01-01,d005,Development
10990,Shin,Foote,9999-01-01,d005,Development
11009,Alper,Axelband,9999-01-01,d007,Sales
11019,Leon,Huttel,9999-01-01,d005,Development
11042,Gou,Breugel,9999-01-01,d005,Development
